Customer_ID,Order_Date,Region,Category,Order_Value,Discount_Pct,Delivery_Days,Recency_Days,Frequency,Churn,Customer_Rating
C00619,2024-01-01,West,Home,80.02,9.59,6,67,3,0,4
C00490,2024-01-01,North,Home,131.15,19.64,4,30,2,0,4
C00180,2024-01-02,West,Home,109.94,1.3,3,62,7,0,3
C00054,2024-01-02,East,Fashion,102.24,6.32,3,38,6,0,5
C00262,2024-01-03,North,Beauty,50.94,12.49,4,102,8,0,4
C00468,2024-01-03,North,Beauty,71.63,12.6,3,27,7,0,4
C00358,2024-01-03,West,Home,71.21,17.76,2,47,5,1,3
C00221,2024-01-04,North,Fashion,100.39,0.7,5,153,12,1,3
C00077,2024-01-04,East,Electronics,206.05,9.12,4,77,3,1,3
C00098,2024-01-04,North,Electronics,81.12,17.57,3,55,8,0,4
C00581,2024-01-04,East,Sports,89.01,11.99,7,61,4,0,4
C00355,2024-01-05,South,Fashion,84.14,15.55,4,81,5,0,3
C00093,2024-01-05,West,Fashion,33.57,9.48,3,97,4,0,3
C00694,2024-01-05,West,Sports,54.63,19.62,5,89,4,0,3
C00455,2024-01-05,West,Electronics,76.37,11.62,5,44,6,0,3
C00333,2024-01-05,North,Home,54.01,9.12,2,24,3,0,3
C00148,2024-01-06,South,Sports,74.97,13.73,3,66,6,0,3
C00060,2024-01-06,North,Electronics,240.08,7.46,3,20,7,0,4
C00553,2024-01-06,West,Fashion,37.17,17.02,2,85,7,0,4
C00473,2024-01-06,North,Fashion,42.16,19.66,2,176,7,1,3
C00372,2024-01-07,North,Home,70.2,18.86,3,45,7,0,4
C00583,2024-01-07,East,Fashion,38.77,3.89,4,56,3,0,4
C00339,2024-01-08,South,Home,134.77,10.31,4,60,5,0,3
C00580,2024-01-09,West,Beauty,51.23,8.87,4,38,2,0,3
C00267,2024-01-09,South,Fashion,155.48,14.99,2,43,3,0,4
C00431,2024-01-09,East,Sports,63.81,9.73,4,107,6,0,3
C00231,2024-01-10,North,Sports,44.12,22.02,3,178,6,0,3
C00132,2024-01-11,South,Fashion,80.36,14.91,2,67,3,0,4
C00262,2024-01-11,South,Sports,62.6,23.37,3,157,5,0,2
C00456,2024-01-11,North,Home,43.89,17.82,5,26,4,0,3
C00354,2024-01-11,North,Electronics,198.18,17.07,7,37,3,1,4
C00569,2024-01-12,South,Home,71.86,14.93,2,46,4,0,4
C00169,2024-01-12,West,Fashion,77.97,8.03,5,48,5,0,4
C00049,2024-01-12,East,Home,84.84,8.45,3,89,5,1,3
C00618,2024-01-12,North,Fashion,85.14,23.07,5,46,8,0,3
C00312,2024-01-12,West,Sports,68.02,12.76,3,70,5,1,2
C00381,2024-01-13,North,Sports,56.04,8.76,5,39,6,0,3
C00604,2024-01-13,South,Beauty,62.01,27.01,5,41,5,1,3
C00418,2024-01-13,South,Electronics,172.77,20.05,4,41,6,0,3
C00695,2024-01-13,North,Home,79.09,3.67,6,65,1,0,3
C00070,2024-01-13,West,Fashion,44.28,6.01,2,59,9,0,5
C00418,2024-01-14,South,Fashion,67.06,2.31,3,50,7,0,4
C00005,2024-01-14,West,Fashion,103.67,2.93,1,99,7,0,5
C00680,2024-01-14,East,Home,121.52,7.26,5,126,3,1,3
C00144,2024-01-14,South,Fashion,48.36,8.01,2,84,4,0,4
C00119,2024-01-14,West,Sports,102.91,16.7,2,33,4,0,3
C00288,2024-01-15,North,Electronics,185.44,10.67,3,13,5,0,4
C00171,2024-01-15,East,Electronics,70.17,25.82,1,40,6,0,3
C00022,2024-01-15,West,Electronics,101.91,12.49,3,107,7,1,3
C00156,2024-01-15,East,Sports,56.37,11.2,4,31,4,0,4
C00248,2024-01-15,South,Sports,74.92,17.03,3,67,5,0,3
C00416,2024-01-15,North,Fashion,49.73,12.42,5,55,6,0,3
C00653,2024-01-15,North,Beauty,52.77,9.2,5,57,6,0,4
C00024,2024-01-15,North,Sports,116.32,4.38,4,93,5,0,3
C00101,2024-01-15,West,Sports,176.13,4.54,3,78,9,0,3
C00148,2024-01-16,East,Beauty,33.19,25.68,4,96,4,1,3
C00240,2024-01-17,South,Beauty,73.27,15.74,6,83,2,0,4
C00623,2024-01-17,West,Electronics,117.27,13.32,5,98,6,1,3
C00257,2024-01-17,South,Fashion,67.61,8.12,6,33,6,0,3
C00694,2024-01-18,East,Fashion,74.11,20.57,5,104,5,0,3
C00140,2024-01-18,East,Fashion,46.68,7.66,3,40,3,0,4
C00365,2024-01-18,South,Electronics,114.71,12.63,2,6,7,0,3
C00198,2024-01-18,South,Fashion,28.16,22.89,4,48,5,0,4
C00420,2024-01-18,North,Fashion,60.01,13.52,4,90,4,0,3
C00674,2024-01-19,North,Beauty,35.54,22.81,3,91,4,0,3
C00389,2024-01-19,North,Fashion,101.91,9.59,3,121,4,0,3
C00162,2024-01-19,West,Electronics,144.52,19.65,4,17,7,0,3
