Customer_ID,Recency,Frequency,Monetary,Cluster
C00001,67,5,431.21000000000004,2
C00002,410,3,405.57,1
C00003,37,4,582.63,2
C00004,5,6,505.82,2
C00005,105,3,389.77,0
C00006,10,3,228.22,0
C00007,175,2,205.59,0
C00008,81,4,262.81,0
C00009,58,4,315.96000000000004,0
C00010,250,3,295.77,0
C00011,19,6,454.6,2
C00012,2,5,478.40000000000003,2
C00014,61,1,108.3,0
C00015,134,4,407.89,0
C00016,205,1,63.25,1
C00017,273,4,433.61,0
C00018,202,3,371.46,0
C00019,57,6,614.48,2
C00020,284,2,262.21000000000004,1
C00021,376,3,185.9,1
C00022,89,5,492.92,2
C00024,276,5,545.01,2
C00025,285,3,289.53999999999996,0
C00026,45,3,243.7,0
C00027,165,5,353.68,0
C00028,10,7,404.28999999999996,2
C00029,200,2,306.88,0
C00030,364,2,280.69,1
C00031,84,3,332.70000000000005,0
C00032,443,2,103.34,1
C00033,263,3,223.70999999999998,0
C00034,37,3,314.0,0
C00035,247,3,239.1,0
C00036,331,2,260.76,1
C00037,226,2,264.99,0
C00038,223,2,170.82999999999998,0
C00039,566,3,198.44,1
C00040,457,2,135.09,1
C00041,92,7,629.03,2
C00042,155,2,195.67000000000002,0
C00043,411,3,187.97,1
C00044,44,7,603.75,2
C00045,45,5,592.82,2
C00046,43,4,333.93,0
C00047,3,4,493.18,0
C00048,234,2,93.11,1
C00049,114,6,585.64,2
C00050,60,7,452.07,2
C00051,90,3,247.11,0
C00052,19,5,443.34000000000003,2
C00053,60,2,177.34,0
C00054,3,6,560.93,2
C00055,273,2,240.11,1
C00056,33,6,602.51,2
C00057,46,4,304.63,0
C00058,120,1,57.5,0
C00059,122,3,423.78,0
C00060,113,6,540.8100000000001,2
C00061,418,4,372.03000000000003,1
C00062,61,7,910.07,2
C00064,296,5,483.45,2
C00065,61,4,413.15,0
C00066,273,5,317.69,0
C00067,21,5,508.06,2
C00068,134,5,510.92,2
C00069,147,3,300.65,0
C00070,196,3,233.7,0
C00071,403,5,413.84999999999997,0
C00072,105,4,372.36,0
C00073,583,1,65.25,1
C00074,329,3,232.32999999999998,1
C00075,405,4,300.71,1
C00076,213,2,422.73,0
C00077,105,4,588.04,2
C00078,391,2,192.78,1
C00079,219,5,324.5,0
C00080,6,5,405.83,2
C00081,116,2,402.52,0
C00082,57,2,194.98000000000002,0
C00083,3,2,97.14,0
C00084,28,5,576.28,2
C00085,259,2,114.92,1
C00086,405,1,138.31,1
C00087,380,3,374.8,1
C00088,11,5,634.28,2
C00089,150,1,54.39,0
C00090,334,3,188.47,1
C00091,49,8,1027.35,2
C00092,4,2,146.6,0
C00093,96,9,808.13,2
C00094,62,3,249.39,0
C00095,101,3,439.76,0
C00096,364,3,218.55,1
C00097,574,3,357.22,1
C00098,363,5,620.47,2
C00099,119,6,676.5600000000001,2
C00100,15,5,669.72,2
C00101,82,9,849.74,2
C00102,130,3,355.39,0
C00103,174,4,295.35,0
C00104,182,5,403.32,0
C00105,228,5,358.20000000000005,0
C00106,111,3,208.94,0
C00107,422,4,646.21,2
C00108,249,6,617.61,2
C00109,159,5,834.1800000000001,2
C00110,411,3,490.17,1
C00111,16,7,447.70000000000005,2
C00112,384,5,507.20000000000005,2
C00113,4,4,263.98,0
C00114,197,4,299.39,0
C00115,74,3,244.11,0
C00116,38,6,464.2,2
C00118,305,3,329.53999999999996,0
C00119,120,4,333.69,0
C00120,271,1,158.09,1
C00121,304,2,132.14,1
C00122,31,7,550.39,2
C00123,187,4,632.3,2
C00124,535,2,74.08000000000001,1
C00125,88,6,658.53,2
C00126,45,4,327.07,0
C00127,131,4,371.28,0
C00128,156,1,38.27,0
C00129,91,4,335.63,0
C00130,5,5,483.03999999999996,2
C00131,306,3,193.59,1
C00132,46,6,429.18,2
C00133,107,5,502.5,2
C00134,300,3,280.3,0
C00135,13,4,409.29999999999995,0
C00136,92,4,318.99,0
C00137,160,6,608.07,2
C00138,62,2,280.97,0
C00139,600,1,81.68,1
C00140,365,4,332.68,1
C00141,116,4,510.22,2
C00142,13,4,216.11,0
C00143,61,4,412.64,0
C00144,718,1,48.36,1
C00145,132,5,548.34,2
C00146,224,4,358.37,0
C00147,408,3,217.65,1
C00148,184,6,309.42,0
C00149,170,3,313.55,0
C00150,651,1,72.5,1
C00151,44,2,169.57,0
